id,title,release_date,vote_average,vote_count,genres,budget,popularity,revenue,neg,neu,pos,compound,topics
20526,TRON: Legacy,1292302800,6.4,5784,"['adventure', 'action', 'science fiction']",170000000,84.079,400062763,0.076,0.757,0.167,1.0,"[8.431057109730586e-06,0.22575976139272888,7.748814001796461e-06,8.039407899214285e-06,8.00121154830617e-06,8.169181079708451e-06,0.3098480111193455,0.4643363712312968,7.570466794258723e-06,7.896118195794522e-06]"
17654,District 9,1249444800,7.4,7529,['science fiction'],30000000,83.969,210819611,0.079,0.767,0.153,1.0,"[9.268642350773545e-06,0.48334979151295765,8.518621883369366e-06,8.838085426625034e-06,8.796094001478273e-06,8.980750287203718e-06,1.7415635494500856e-05,0.012743073002459622,0.5038366370952153,8.680559923294961e-06]"
19994,Jennifer's Body,1253246400,5.8,2806,"['horror', 'comedy']",16000000,83.373,31556061,0.122,0.725,0.153,0.9999,"[8.393391037864894e-06,0.6225577687835762,7.714195558356934e-06,8.003491281886852e-06,7.96546534752305e-06,8.132684314512751e-06,1.5770828022171587e-05,1.2261537396286928e-05,0.37736612878196496,7.860841500290327e-06]"
27576,Salt,1279684800,6.4,4415,"['action', 'mystery', 'thriller']",110000000,82.687,293329073,0.096,0.76,0.143,0.9999,"[1.01238738468623e-05,0.9998991185068231,9.304647989476394e-06,9.653588454122956e-06,9.607722763257165e-06,9.809417435243937e-06,1.902085598455481e-05,1.4789366868104296e-05,9.09049161365761e-06,9.481528221713512e-06]"
9502,Kung Fu Panda,1212552000,7.2,8914,"['action', 'adventure', 'animation', 'family', 'comedy']",130000000,82.447,631744560,0.149,0.655,0.196,0.9999,"[1.3508929447671539e-05,0.4834376279508471,1.2415783485395535e-05,1.28813969486886e-05,1.282019627226405e-05,1.3089329577000873e-05,0.5164531398962642,1.973468986682576e-05,1.2130020987332758e-05,1.2651806303620882e-05]"
16996,17 Again,1236744000,6.3,4163,['comedy'],20000000,82.079,136267476,0.071,0.74,0.188,1.0,"[1.090059199736145e-05,0.9998913789244132,1.0018513773294099e-05,1.0394225272587045e-05,1.0344840722108553e-05,1.0562009863071078e-05,2.048005634364015e-05,1.5923945964185307e-05,9.7879270153174e-06,1.020896463515885e-05]"
8920,Garfield,1086840000,5.6,3029,"['animation', 'comedy', 'family']",50000000,80.96,200804534,0.114,0.711,0.175,1.0,"[1.2805711711128625e-05,5.0007444585540777e-05,1.1769470967027349e-05,1.2210846227015105e-05,1.215283079440368e-05,1.2407955041202909e-05,2.4060752246988428e-05,0.9998410931969792,1.1498584051967758e-05,1.1993207395606158e-05]"
14160,Up,1243483200,7.9,16534,"['animation', 'comedy', 'family', 'adventure']",175000000,78.722,735099082,0.058,0.73,0.212,1.0,"[1.1354286289690839e-05,0.6473018248136472,1.0435494223542426e-05,1.0826843282849431e-05,1.077540344750682e-05,1.1001611297057367e-05,2.133586149195952e-05,1.6586868793883555e-05,1.0195310199123237e-05,0.3525956635073274]"
19908,Zombieland,1254888000,7.3,9955,"['comedy', 'horror']",23600000,78.523,102391540,0.108,0.707,0.185,1.0,"[1.1270931440681287e-05,0.8836287327706797,1.035888506489405e-05,1.0747361142851681e-05,1.0696298822952025e-05,1.0920846386613508e-05,2.1177029234274358e-05,1.646530127259552e-05,0.11626907476963395,1.0555806321475088e-05]"
38757,Tangled,1290574800,7.6,9003,"['animation', 'family']",260000000,78.477,592461732,0.054,0.727,0.219,1.0,"[1.1887838457109142e-05,0.1135383920981621,1.092587076521291e-05,1.1335609776369486e-05,1.1281752743482388e-05,1.1518590821887002e-05,0.8863654838506756,1.736641778772033e-05,1.0674400161368473e-05,1.1133570649069339e-05]"
