title,prediction,vote_average,popularity,release_date,vote_count,budget,revenue,neg,topics
Dragon Ball GT: A Hero's Legacy,7.097839045284592,6.7,95.71,1997-03-26,214,0,0,0.087,"[6.12068539814469e-05,6.190322380953389e-05,5.400268574805832e-05,9.454747056550598e-05,8.30784413745437e-05,0.7159879157533757,5.6395940805377306e-05,0.283491570236727,5.295507493752237e-05,5.642431867535528e-05]"
The Avengers,7.244780762842174,7.7,235.235,2012-04-25,25889,220000000,1518815515,0.083,"[9.904567027914585e-06,1.0017254762021582e-05,8.738779350904692e-06,1.5300175966685243e-05,0.5809303843104198,8.929444126533436e-06,9.126059008553437e-06,0.4189898995046279,8.56925371756064e-06,9.13065099224179e-06]"
Dragon Ball Z: Bojack Unbound,6.548391443219556,7.0,82.506,1993-07-10,385,0,0,0.148,"[4.002933691105551e-05,4.048477581779559e-05,3.531780450389578e-05,6.183633556813938e-05,5.433373866642157e-05,0.7084424233464521,3.688299563281673e-05,0.29121715744578425,3.463266591695373e-05,3.690155474646044e-05]"
Friends with Benefits,6.9974334160900975,6.7,73.891,2011-07-21,6570,35000000,149542245,0.066,"[0.11841007354255097,1.165528752784338e-05,1.0167754424612182e-05,1.7802126385827713e-05,0.14185309645908953,1.03895967614743e-05,1.0618362409951157e-05,0.7396556026575545,9.970507704614257e-06,1.0623705590580371e-05]"
The Twilight Saga: Breaking Dawn - Part 2,6.969589264501815,6.5,108.797,2012-11-13,7396,120000000,829000000,0.097,"[1.1347030502596864e-05,1.1476127048633182e-05,1.0011460852413283e-05,1.7527808184773638e-05,1.5401637611120058e-05,1.0229893083208836e-05,1.0455142070413521e-05,0.9998932732514638,9.81724613520927e-06,1.0460403047730226e-05]"
Pacific Rim,7.125029353799477,6.8,126.825,2013-07-11,10172,180000000,407602906,0.106,"[8.254549415109364e-06,8.348463425627426e-06,7.282970671980059e-06,0.3659247636919265,0.5326772319543802,7.441872363271101e-06,0.0035483797418805183,0.09780354550944474,7.141686738085745e-06,7.6095597539993515e-06]"
Journey 2: The Mysterious Island,6.915635981103317,6.1,114.813,2012-01-19,3338,79000000,355692760,0.078,"[1.147618308651069e-05,1.1606748539026121e-05,1.0125410835590822e-05,1.772779557870258e-05,0.9711230097441244,1.0346329269795991e-05,1.057414242613202e-05,0.0287846251976755,9.928985668871564e-06,1.0579462795472644e-05]"
The Conjuring,6.69495892265028,7.5,111.555,2013-03-20,8921,13000000,319494638,0.158,"[1.0205849663272443e-05,1.0321964188528855e-05,9.00460004638345e-06,1.5765362310028102e-05,1.3852763425836112e-05,9.201064328894842e-06,9.403660165958518e-06,0.3389577322946261,8.829917634790548e-06,0.6609556825236101]"
Ghostbusters II,6.8690524142992935,6.5,74.272,1989-06-16,3241,37000000,215394738,0.101,"[0.03494012806750887,0.01535725924696661,1.2412780079199938e-05,2.173356808750111e-05,1.9096281315122335e-05,0.022006541603356647,1.2962882494641105e-05,0.5833124299903151,1.2171981314385026e-05,0.3443052635985618]"
Brother Bear,7.129437997793157,7.2,68.087,2003-10-23,4332,128000000,250397798,0.083,"[0.048669459359004096,1.5843854653359918e-05,1.3821746382952057e-05,2.419952918986124e-05,2.1263573787499132e-05,0.3692524743109241,1.4434289483962864e-05,0.5819605081690978,1.3553615032528992e-05,1.4441552443805948e-05]"
Child's Play 2,6.480152654871227,6.2,68.82,1990-11-09,1264,13000000,35763605,0.132,"[1.2609287858922982e-05,1.2752748240171434e-05,1.1125148877355937e-05,1.9479402305995864e-05,1.7115164413409632e-05,1.136787982141591e-05,1.161818616345173e-05,0.6453352358731554,1.0909329440275812e-05,0.35455778697972345]"
The Emperor's New Groove,7.047640562806375,7.6,74.142,2000-12-15,5222,100000000,169327687,0.094,"[1.4262582572294205e-05,1.4424846367391802e-05,1.2583843035274203e-05,0.6009753111281083,1.935900888051345e-05,1.2858400154089403e-05,1.314152620962831e-05,0.3989125708003826,1.2339726127776837e-05,1.314813816201945e-05]"
Naruto the Movie: Guardians of the Crescent Moon Kingdom,6.764842350066468,7.0,70.106,2006-08-05,223,25000000,0,0.114,"[0.0001433974263872755,0.00014502891232429465,0.0001265192595551974,0.0002215163363404143,0.00019463844184196985,0.21480519080773797,0.00013212625467014884,0.7839753249426784,0.00012406488101718708,0.00013219273744723953]"
